But soft! what,					through yonder window breaks?,			noun
It is the east and, 				is the sun.,    	      			noun
Arise fair sun and kill the envious, 		;,      					noun
Who is already sick and,   	  		with grief,					adjective
That thou her maid art far more,  		than she:,					adjective
Be not her maid since she is, 			;,    						adjective
Her vestal, 	     	       			is but sick and green,				noun
And none but fools do, 				it; cast it off.,				verb
It is my, 	       				Oh it is my love!,				noun
Oh that she, 					she were!,     					verb (past tense)
She speaks yet she says, 			: what of that?,				noun
Her eye discourses; I will, 			it.,      					verb
I am too, 		  			'tis not to me she speaks:,			adjective
Two of the fairest,  				in all the heaven,   				noun
Having some business do, 			her eyes,   					verb
To twinkle in their,   				till they return.,				plural noun
What if her eyes were there and they in her, 	?,    	  					body part
The brightness of her,  	      	 	would shame those stars,			body part
As daylight doth a lamp; her eyes in, 		;,     	    	  				place
Would through the airy region,     		so bright,					verb
That birds would,  	   			and think it were not night.,			verb
See how she,  					her cheek upon her hand!,			verb
Oh that I were a,  				upon that hand,	   				article of clothing
That I might,   				that cheek!,					verb
She,    					:,    						verb
Oh speak again, 				angel! for thou art,				adjective
As glorious to this night being o'er my, 	;,						body part
As is a winged,  	       	     	  	of heaven,					type of worker (i.e. chef)
Unto the white-upturned,  			eyes,						adjective
Of,       					that fall back to gaze on him,			plural noun
When he,					the lazy-pacing clouds, 			verb
And sails upon the bosom of the, 		.,   						noun
